group,aug,arch,short-exp-name,exp-name,,msmarco,trec-covid,bioasq,nfcorpus,nq,hotpotqa,fiqa,signal1m,trec-news,arguana,webis-touche2020,dbpedia-entity,scidocs,fever,climate-fever,scifact,robust04,quora,cqadupstack,msmarco%,trec-covid%,bioasq%,nfcorpus%,nq%,hotpotqa%,fiqa%,signal1m%,trec-news%,arguana%,webis-touche2020%,dbpedia-entity%,scidocs%,fever%,climate-fever%,scifact%,robust04%,quora%,cqadupstack%,msmarco±,trec-covid±,bioasq±,nfcorpus±,nq±,hotpotqa±,fiqa±,signal1m±,trec-news±,arguana±,webis-touche2020±,dbpedia-entity±,scidocs±,fever±,climate-fever±,scifact±,robust04±,quora±,cqadupstack±
Baseline,BM25,BM25,BM25-Baseline,BM25(BEIR+our touch2020),ndcg@10,0.228,0.656,0.465,0.325,0.329,0.603,0.236,0.330,0.398,0.315,0.347,0.313,0.158,0.753,0.213,0.665,0.408,0.789,0.299,0.11,1.39,#DIV/0!,0.02,0.30,0.25,-0.04,#DIV/0!,#DIV/0!,-0.17,1.08,0.07,0.06,0.10,0.37,0.02,#DIV/0!,-0.06,0.05,0.022,0.381,0.465,0.008,0.075,0.122,-0.009,0.330,0.398,-0.064,0.180,0.021,0.009,0.071,0.058,0.016,0.408,-0.046,0.015
ignore,Contriever,Contriever,Contriever-Baseline,fb-contriever.dot (BEIR changed Tóuche2020 dataset),ndcg@10,0.206,0.275,0.000,0.317,0.254,0.481,0.245,0.000,0.000,0.379,0.167,0.292,0.149,0.682,0.155,0.649,0.000,0.835,0.284,0.00,0.00,#DIV/0!,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,0.00,0.00,0.00,0.00,0.00,#DIV/0!,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Baseline,SPAR,SPAR,SPAR-Baseline,spar-wiki-bm25,ndcg@10,0.193,0.531,0.000,0.265,0.262,0.572,0.185,0.000,0.000,0.420,0.234,0.281,0.134,0.569,0.164,0.627,0.000,0.704,0.279,-0.06,0.93,#DIV/0!,-0.17,0.03,0.19,-0.24,#DIV/0!,#DIV/0!,0.11,0.40,-0.04,-0.10,-0.17,0.06,-0.03,#DIV/0!,-0.16,-0.02,-0.013,0.257,0.000,-0.053,0.008,0.091,-0.060,0.000,0.000,0.041,0.068,-0.011,-0.015,-0.113,0.009,-0.023,0.000,-0.131,-0.005
ignore,SPAR,SPAR,SPAR-Baseline,spar-paq-bm25,ndcg@10,0.217,0.607,0.000,0.301,0.276,0.583,0.190,0.000,0.000,0.378,0.224,0.302,0.137,0.580,0.170,0.656,0.000,0.727,0.269,0.06,1.21,#DIV/0!,-0.05,0.09,0.21,-0.23,#DIV/0!,#DIV/0!,0.00,0.34,0.04,-0.08,-0.15,0.10,0.01,#DIV/0!,-0.13,-0.05,0.011,0.332,0.000,-0.016,0.022,0.102,-0.055,0.000,0.000,-0.001,0.057,0.010,-0.012,-0.102,0.015,0.007,0.000,-0.108,-0.015
Baseline,Spider,Spider,Spider-Baseline,tau/spider,ndcg@10,0.150,0.322,0.000,0.267,0.145,0.413,0.091,0.000,0.000,0.290,0.047,0.216,0.130,0.316,0.129,0.623,0.000,0.724,0.222,-0.27,0.17,#DIV/0!,-0.16,-0.43,-0.14,-0.63,#DIV/0!,#DIV/0!,-0.24,-0.72,-0.26,-0.13,-0.54,-0.17,-0.04,#DIV/0!,-0.13,-0.22,-0.056,0.047,0.000,-0.050,-0.109,-0.067,-0.154,0.000,0.000,-0.089,-0.120,-0.075,-0.019,-0.366,-0.026,-0.026,0.000,-0.111,-0.062
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RandomCrop,RC,Inbatch,Inbatch-RandomCrop,wikipsg.seed477.inbatch.contriever256.bert-base-uncased.avg.dot.qd256.step100k.bs1024.lr5e5,ndcg@10,0.140,0.238,0.000,0.137,0.202,0.320,0.094,0.000,0.000,0.432,0.029,0.192,0.081,0.233,0.108,0.524,0.000,0.768,0.181,-0.32,-0.13,#DIV/0!,-0.57,-0.20,-0.33,-0.62,#DIV/0!,#DIV/0!,0.14,-0.82,-0.34,-0.45,-0.66,-0.30,-0.19,#DIV/0!,-0.08,-0.36,-0.066,-0.036,0.000,-0.180,-0.051,-0.161,-0.151,0.000,0.000,0.053,-0.137,-0.099,-0.068,-0.449,-0.047,-0.125,0.000,-0.067,-0.103
RandomCrop,RC,MoCo,MoCo-RandomCrop,wikipsg.seed477.moco-2e14.contriever256.bert-base-uncased.avg.dot.qd256.step100k.bs1024.lr5e5,ndcg@10,0.175,0.355,0.000,0.228,0.251,0.421,0.138,0.000,0.000,0.385,0.069,0.220,0.121,0.405,0.157,0.609,0.000,0.767,0.208,-0.15,0.29,#DIV/0!,-0.28,-0.01,-0.12,-0.43,#DIV/0!,#DIV/0!,0.01,-0.59,-0.25,-0.19,-0.41,0.01,-0.06,#DIV/0!,-0.08,-0.27,-0.031,0.081,0.000,-0.089,-0.003,-0.060,-0.107,0.000,0.000,0.005,-0.098,-0.072,-0.028,-0.277,0.002,-0.040,0.000,-0.068,-0.077
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doc-Title,DocTitle,Inbatch,Inbatch-DocTitle,wikipsg.seed477.inbatch.contriever-256-Qtitle1.bert-base-uncased.avg.dot.qd128.step200k.bs1024.lr5e5,ndcg@10,0.147,0.377,0.000,0.275,0.226,0.416,0.136,0.000,0.000,0.247,0.172,0.288,0.109,0.609,0.134,0.454,0.000,0.616,0.141,-0.29,0.37,#DIV/0!,-0.13,-0.11,-0.13,-0.44,#DIV/0!,#DIV/0!,-0.35,0.03,-0.01,-0.27,-0.11,-0.14,-0.30,#DIV/0!,-0.26,-0.50,-0.059,0.103,0.000,-0.042,-0.028,-0.064,-0.109,0.000,0.000,-0.132,0.006,-0.004,-0.040,-0.074,-0.021,-0.195,0.000,-0.219,-0.143
