group,aug,arch,short-exp-name,exp-name,metric,msmarco,trec-covid,bioasq,nfcorpus,nq,hotpotqa,fiqa,signal1m,trec-news,arguana,webis-touche2020,dbpedia-entity,scidocs,fever,climate-fever,scifact,robust04,quora,cqadupstack,Avg-11 (CPT),Avg-13 (Aggretriever),Avg-14 (public),Avg-14+MM,BM25,Contriever,SPAR,Spider,SQ-3 (<7),MQ-8 (8-13),LQ-3 (>17),xSD-1,SD-3 (<60),MD-6 (75-150),LD-6 (>160),Phrase-2,Question-7,Sentence-5,MM-1,Wiki-5,NonWiki-9,Scientific-4,BioMed-2,QA-3,Argument-2,Entity-1,FactCheck-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline,Baseline,BM25*,BM25*,,,,,,,,,,,,,,,,,,,,,,,,42.9,,,,,,32.8,48.6,37.7,78.9,56.8,36.6,41.1,31.9,46.6,42.1,22.8,44.2,42.1,45.1,49.1,38.9,33.1,31.3,54.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline,Baseline,Contriever,Contriever,,,,,,,,,,,,,,,,,,,,,,,,36.9,,,,,,25.9,42.2,33.8,83.5,53.6,32.4,32.3,30.4,36.3,40.3,20.6,37.3,36.7,34.8,29.6,32.6,27.3,29.2,49.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline,Baseline,SPAR Λ,SPAR Λ,,,,,,,,,,,,,,,,,,,,,,,,37.3,,,,,,26.0,41.1,38.5,70.4,51.9,29.2,36.9,27.3,39.5,38.3,19.3,36.9,37.6,38.9,39.8,34.0,32.7,28.1,45.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline,Baseline,Spider,Spider,,,,,,,,,,,,,,,,,,,,,,,,28.1,,,,,,17.7,32.2,27.7,72.4,45.1,18.0,28.0,24.2,28.1,29.8,15.0,24.4,30.2,33.6,29.5,21.6,16.8,21.6,35.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.6,43.0,37.7,72.7,53.7,29.7,38.4,30.1,41.1,38.4,21.7,38.2,38.8,42.5,45.4,34.9,30.1,30.2,46.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RC,RandomCrop (RC),Inbatch,Inbatch,wikipsg.seed477.inbatch.contriever256.bert-base-uncased.avg.dot.qd256.step100k.bs1024.lr5e5,ndcg@10,0.140,0.238,0.000,0.137,0.202,0.320,0.094,0.000,0.000,0.432,0.029,0.192,0.081,0.233,0.108,0.524,0.000,0.768,0.181,28.0,25.8,25.3,24.5,42.0,36.9,37.3,28.1,12.0,29.0,28.7,76.8,42.7,16.4,24.0,16.5,26.2,27.6,14.0,21.1,27.6,24.5,18.8,20.5,23.1,19.2,28.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RC+RC,RandomCrop (RC),Inbatch,Inbatch+RC,wikipsg.seed477.inbatch.contriever256.bert-base-uncased.avg.dot.qd256.step100k.bs1024.lr5e5,ndcg@10,0.140,0.238,0.000,0.137,0.202,0.320,0.094,0.000,0.000,0.432,0.029,0.192,0.081,0.233,0.108,0.524,0.000,0.768,0.181,28.0,25.8,25.3,24.5,42.0,36.9,37.3,28.1,12.0,29.0,28.7,76.8,42.7,16.4,24.0,16.5,26.2,27.6,14.0,21.1,27.6,24.5,18.8,20.5,23.1,19.2,28.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RC,RandomCrop (RC),MoCo,MoCo,wikipsg.seed477.moco-2e14.contriever256.bert-base-uncased.avg.dot.qd256.step100k.bs1024.lr5e5,ndcg@10,0.175,0.355,0.000,0.228,0.251,0.421,0.138,0.000,0.000,0.385,0.069,0.220,0.121,0.405,0.157,0.609,0.000,0.767,0.208,34.1,31.7,30.9,30.1,42.0,36.9,37.3,28.1,17.2,35.7,32.1,76.7,46.9,23.2,29.4,22.4,31.6,33.5,17.5,29.1,32.0,32.8,29.2,27.0,22.7,22.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RC+RC,RandomCrop (RC),MoCo,MoCo+RC,wikipsg.seed477.moco-2e14.contriever256.bert-base-uncased.avg.dot.qd256.step100k.bs1024.lr5e5,ndcg@10,0.175,0.355,0.000,0.228,0.251,0.421,0.138,0.000,0.000,0.385,0.069,0.220,0.121,0.405,0.157,0.609,0.000,0.767,0.208,34.1,31.7,30.9,30.1,42.0,36.9,37.3,28.1,17.2,35.7,32.1,76.7,46.9,23.2,29.4,22.4,31.6,33.5,17.5,29.1,32.0,32.8,29.2,27.0,22.7,22.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,36.9,37.3,28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doc-Title,Doc-Title,Inbatch,Inbatch-Doc-Title,wikipsg.seed477.inbatch.contriever-256-Qtitle1.bert-base-uncased.avg.dot.qd128.step200k.bs1024.lr5e5,ndcg@10,0.147,0.377,0.000,0.275,0.226,0.416,0.136,0.000,0.000,0.247,0.172,0.288,0.109,0.609,0.134,0.454,0.000,0.616,0.141,33.9,31.2,30.0,29.0,42.0,36.9,37.3,28.1,24.5,33.4,26.6,61.6,44.0,24.9,27.3,28.1,29.8,31.1,14.7,33.4,28.1,30.4,32.6,26.0,21.0,28.8,39.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doc-Title,Doc-Title+RC,Inbatch,Inbatch-Doc-Title+RC,wikipsg.seed477.inbatch.contriever-256-Qtitle50.bert-base-uncased.avg.dot.qd128.step200k.bs1024.lr5e5,ndcg@10,0.160,0.253,0.000,0.271,0.254,0.434,0.129,0.000,0.000,0.360,0.148,0.271,0.108,0.467,0.117,0.567,0.000,0.652,0.180,33.4,31.0,30.1,29.1,42.0,36.9,37.3,28.1,23.0,32.6,30.4,65.2,45.2,22.9,28.5,27.1,29.3,32.4,16.0,30.9,29.6,30.0,26.2,27.2,25.4,27.1,38.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doc-Title,Doc-Title,MoCo,MoCo-Doc-Title,wikipsg.seed477.moco-2e14.contriever-256-Qtitle1.bert-base-uncased.avg.dot.qd128.step200k.bs1024.lr5e5,ndcg@10,0.120,0.423,0.000,0.230,0.145,0.347,0.071,0.000,0.000,0.319,0.080,0.229,0.101,0.197,0.046,0.477,0.000,0.724,0.143,28.6,26.1,25.2,24.3,42.0,36.9,37.3,28.1,18.0,28.5,23.8,72.4,43.3,12.0,27.2,22.9,27.6,22.8,12.0,19.3,28.5,30.8,32.6,18.8,20.0,22.9,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doc-Title,Doc-Title+RC,MoCo,MoCo-Doc-Title+RC,wikipsg.seed477.moco-2e14.contriever-256-Qtitle50.bert-base-uncased.avg.dot.qd128.step200k.bs1024.lr5e5,ndcg@10,0.185,0.404,0.000,0.268,0.278,0.474,0.158,0.000,0.000,0.380,0.107,0.280,0.129,0.498,0.138,0.603,0.000,0.767,0.229,37.1,34.5,33.7,32.7,42.0,36.9,37.3,28.1,21.8,38.3,33.0,76.7,50.7,26.0,31.5,27.4,34.5,34.9,18.5,33.4,33.8,35.1,33.6,30.3,24.4,28.0,41.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
